,artist_name,track_name,track_id,popularity,genre,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,beat_duration,tatum_duration
1640,NCT 127,Sticker,1iGQpclvzonFNzy7Ko89V7,63,K-Pop,2021,0.527,0.769,2,-0.419,1,0.28,0.311,0.0,0.742,0.719,156.032,227773,4,1.5381945205479453,0.19455643717728055
1641,TAEMIN,Advice,4rOODw637hsmsq0uzT0DN3,65,K-Pop,2021,0.659,0.821,9,-2.215,0,0.0468,0.406,0.0,0.114,0.353,161.983,191640,4,1.4787116666666666,0.1851792277227723
1642,BTS,Boyz with Fun,1sz4drpDPpHVrPUgnXGaNn,67,K-Pop,2015,0.704,0.96,1,-2.606,0,0.192,0.0808,0.0,0.383,0.751,116.024,244156,4,2.0611074358974357,0.25874349036402566
1643,NCT U,OK!,5d2mc1dOSOLw25fJ7WH5fl,56,K-Pop,2021,0.757,0.775,10,-3.442,0,0.121,0.0305,0.0,0.0999,0.713,140.97,229000,4,1.6940537593984961,0.21297009416195856
1644,CHANYEOL,Stay With Me,1HYzRuWjmS9LXCkdVHi25K,72,K-Pop,2016,0.558,0.526,0,-4.686,0,0.033,0.431,0.0,0.126,0.202,124.709,192441,4,1.9482709375000002,0.24107910256410256
1645,Brave Girls,Rollin',4ajYy2PqT3czWrpI4rgmIP,68,K-Pop,2017,0.691,0.875,1,-3.887,1,0.101,0.0356,0.0,0.157,0.489,124.954,197711,4,1.905849803921569,0.24000185819070904
1646,BTS,Hold Me Tight,2SKBwYW23iHoB7CrYSeyC9,66,K-Pop,2015,0.622,0.728,6,-5.111,1,0.286,0.0511,0.0,0.171,0.394,139.994,274992,4,1.718038025477707,0.21578735247208933
1647,SUHO,Grey Suit,40wEuG76R9nFumrBp6PHwm,66,K-Pop,2022,0.436,0.482,4,-5.271,1,0.0309,0.586,9.83e-05,0.124,0.0955,143.831,222893,4,1.669111937984496,0.20909547388781433
1648,BTS,Stay Gold,3Ys2PYl1wyPKQIwyqhP9cQ,69,K-Pop,2020,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.582,129.017,243267,4,1.863820157480315,0.23315640196078433
1649,BTS,We Are Bulletproof Pt.2,5pjHS3EpHurMyIpB2QBnEd,66,K-Pop,2013,0.753,0.95,8,-5.09,0,0.16,0.0104,6.32e-06,0.134,0.868,144.02,223933,4,1.6705077272727273,0.20843586142322096
1650,Mariya Takeuchi,Plastic Love,7rU6Iebxzlvqy5t857bKFq,64,K-Pop,2008,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64e-05,0.196,0.857,102.517,294493,4,2.348046422764228,0.29290096774193547
1651,SEVENTEEN,Left & Right,5QGooKayQPVZMUDc8Qt3Dm,66,K-Pop,2020,0.726,0.829,6,-3.876,0,0.111,0.146,0.0,0.0916,0.95,149.994,201773,4,1.6066195161290322,0.20003432000000002
1652,IZ*ONE,Panorama,0CnpSTdL9l5vQM4YnzXtyo,67,K-Pop,2020,0.726,0.963,9,-1.111,0,0.0916,0.0429,0.00157,0.128,0.769,126.062,222853,4,1.9051824561403508,0.23815684095860565
1653,Jay Park,All I Wanna Do,2PcJoVkfjcbvoqBxV1Nj7y,67,K-Pop,2016,0.613,0.668,8,-6.867,1,0.267,0.245,0.0,0.0735,0.509,96.176,209393,4,2.460409518072289,0.3102664156626506
1654,NCT 127,Kick It,1ayaOin9hxCtyhg4UsBTpg,63,K-Pop,2020,0.681,0.847,7,-2.462,1,0.0869,0.0306,0.0,0.0808,0.507,167.031,233013,4,1.4150526380368096,0.17963523291925465
1655,BTS,Let Go,1OqDvYVDhJyFZny7XlfIyZ,68,K-Pop,2018,0.558,0.863,4,-3.53,1,0.178,0.17,0.0,0.289,0.388,173.908,299707,4,1.3635594366197181,0.17245843601895733
1656,Jay Park,All I Wanna Do (K) (Feat. Hoody & Loco),2FWquqPNxte8iqZ3ATQG0p,65,K-Pop,2016,0.403,0.724,8,-6.064,1,0.246,0.377,0.0,0.0927,0.428,97.133,216786,4,2.231170736842105,0.28303263227513226
1657,J Boog,Let's Do It Again,4TBtGrMgUYH7D5Tf5HLvyz,65,K-Pop,2011,0.631,0.696,0,-5.631,0,0.211,0.578,0.0,0.0784,0.927,173.537,192177,4,1.3679439855072462,0.17284954545454545
